,nrmse,mape,smape,mae,nmae
0,0.21672828938879124,2.4139106610615806,0.45509750597213927,0.16068102801736986,0.16068102801736986
1,0.22604094663323102,2.363386858219686,0.5385300996442988,0.1857832923977007,0.1857832923977007
2,0.23157695762639277,2.138112771295818,0.5446155716412246,0.1883687929307581,0.1890562702772207
3,0.2227961750630882,2.589614353852926,0.44938351855030384,0.1639990581432958,0.1639990581432958
4,0.22216202982740912,1.6762071034610488,0.4512451029600437,0.16632810960734357,0.16632810960734357
5,0.21360148890231861,3.172674595756939,0.5555407581011105,0.17500625675605125,0.17519105744956348
6,0.22252793691373843,3.1143903324800295,0.5591129191675634,0.17792841091482822,0.17792841091482822
7,0.2076629202531041,1.4792837181453178,0.4456189407641197,0.15417068624685654,0.15417068624685654
8,0.2289834855126875,2.1682859169116346,0.5600955269181862,0.18760042885588868,0.18760042885588868
9,0.21102328703495615,1.6483936338126746,0.45709022823828266,0.1549118656004945,0.1549118656004945
